Episodes = 1831,alpha=0.0001,gamma=0.99,epsilon=1.0,epsilon_decay_rate=0.998,tau=0.125,batch=128,64relu/64relu/linear,Adam opt,Loss mse,,,,,,,,,,,,
37.70368471,294,,,,,,,,,,,,,,,,,,,,
85.86264412,315,,,,,,,,,,,,,,,,,,,,
27.79558042,209,,,,,,,,,,,,,,,,,,,,
35.70948954,264,,,,,,,,,,,,,,,,,,,,
59.82725528,297,,,,,,,,,,,,,,,,,,,,
58.62905561,364,,,,,,,,,,,,,,,,,,,,
12.46740077,214,,,,,,,,,,,,,,,,,,,,
58.22123464,273,,,,,,,,,,,,,,,,,,,,
46.65988461,398,,,,,,,,,,,,,,,,,,,,
36.5482238,266,,,,,,,,,,,,,,,,,,,,
78.71223772,285,,,,,,,,,,,,,,,,,,,,
46.34527366,247,,,,,,,,,,,,,,,,,,,,
35.71007461,225,,,,,,,,,,,,,,,,,,,,
67.47896936,235,,,,,,,,,,,,,,,,,,,,
19.06007985,277,,,,,,,,,,,,,,,,,,,,
59.09515894,157,,,,,,,,,,,,,,,,,,,,
64.95465861,153,,,,,,,,,,,,,,,,,,,,
57.95469418,124,,,,,,,,,,,,,,,,,,,,
42.32671604,193,,,,,,,,,,,,,,,,,,,,
35.3916892,180,,,,,,,,,,,,,,,,,,,,
67.06700437,314,,,,,,,,,,,,,,,,,,,,
68.60089137,202,,,,,,,,,,,,,,,,,,,,
71.87937394,221,,,,,,,,,,,,,,,,,,,,
67.12137832,387,,,,,,,,,,,,,,,,,,,,
46.95962783,258,,,,,,,,,,,,,,,,,,,,
42.88040657,326,,,,,,,,,,,,,,,,,,,,
55.38973145,251,,,,,,,,,,,,,,,,,,,,
96.31661314,247,,,,,,,,,,,,,,,,,,,,
43.85454757,207,,,,,,,,,,,,,,,,,,,,
198.1266969,318,,,,,,,,,,,,,,,,,,,,
53.57697427,334,,,,,,,,,,,,,,,,,,,,
49.40441888,241,,,,,,,,,,,,,,,,,,,,
57.09587298,473,,,,,,,,,,,,,,,,,,,,
-119.87223,410,,,,,,,,,,,,,,,,,,,,
55.7036668,357,,,,,,,,,,,,,,,,,,,,
64.08990594,363,,,,,,,,,,,,,,,,,,,,
73.86091299,243,,,,,,,,,,,,,,,,,,,,
84.85549993,216,,,,,,,,,,,,,,,,,,,,
51.45110448,149,,,,,,,,,,,,,,,,,,,,
55.74640293,151,,,,,,,,,,,,,,,,,,,,
32.45451126,167,,,,,,,,,,,,,,,,,,,,
28.49139891,354,,,,,,,,,,,,,,,,,,,,
70.35221555,245,,,,,,,,,,,,,,,,,,,,
1.555823891,204,,,,,,,,,,,,,,,,,,,,
81.74517346,165,,,,,,,,,,,,,,,,,,,,
69.00730772,237,,,,,,,,,,,,,,,,,,,,
75.92046123,282,,,,,,,,,,,,,,,,,,,,
97.61589453,219,,,,,,,,,,,,,,,,,,,,
90.74033935,114,,,,,,,,,,,,,,,,,,,,
59.4786447,255,,,,,,,,,,,,,,,,,,,,
79.89059351,435,,,,,,,,,,,,,,,,,,,,
-128.6373173,273,,,,,,,,,,,,,,,,,,,,
77.75761977,264,,,,,,,,,,,,,,,,,,,,
54.32840886,242,,,,,,,,,,,,,,,,,,,,
66.54740974,268,,,,,,,,,,,,,,,,,,,,
89.58955833,325,,,,,,,,,,,,,,,,,,,,
73.03259546,323,,,,,,,,,,,,,,,,,,,,
45.57340358,305,,,,,,,,,,,,,,,,,,,,
60.1564311,254,,,,,,,,,,,,,,,,,,,,
74.23214852,252,,,,,,,,,,,,,,,,,,,,
90.08775375,267,,,,,,,,,,,,,,,,,,,,
89.13603962,275,,,,,,,,,,,,,,,,,,,,
80.44406641,235,,,,,,,,,,,,,,,,,,,,
67.30498516,252,,,,,,,,,,,,,,,,,,,,
50.83147328,206,,,,,,,,,,,,,,,,,,,,
39.3685789,313,,,,,,,,,,,,,,,,,,,,
103.8228165,278,,,,,,,,,,,,,,,,,,,,
61.63885279,269,,,,,,,,,,,,,,,,,,,,
34.88911154,304,,,,,,,,,,,,,,,,,,,,
91.71368465,291,,,,,,,,,,,,,,,,,,,,
15.02278398,203,,,,,,,,,,,,,,,,,,,,
155.8376963,305,,,,,,,,,,,,,,,,,,,,
90.30842184,222,,,,,,,,,,,,,,,,,,,,
66.26146837,327,,,,,,,,,,,,,,,,,,,,
137.2700796,293,,,,,,,,,,,,,,,,,,,,
17.20871236,314,,,,,,,,,,,,,,,,,,,,
105.4594608,290,,,,,,,,,,,,,,,,,,,,
101.9228421,206,,,,,,,,,,,,,,,,,,,,
19.58710188,280,,,,,,,,,,,,,,,,,,,,
12.57762965,366,,,,,,,,,,,,,,,,,,,,
111.8770049,296,,,,,,,,,,,,,,,,,,,,
1.616976038,243,,,,,,,,,,,,,,,,,,,,
10.43838094,339,,,,,,,,,,,,,,,,,,,,
17.60733822,341,,,,,,,,,,,,,,,,,,,,
2.226188656,343,,,,,,,,,,,,,,,,,,,,
79.26342922,376,,,,,,,,,,,,,,,,,,,,
55.61831403,327,,,,,,,,,,,,,,,,,,,,
27.40467742,417,,,,,,,,,,,,,,,,,,,,
44.0812731,317,,,,,,,,,,,,,,,,,,,,
23.18453011,330,,,,,,,,,,,,,,,,,,,,
26.93355709,311,,,,,,,,,,,,,,,,,,,,
24.1078179,204,,,,,,,,,,,,,,,,,,,,
36.33334581,330,,,,,,,,,,,,,,,,,,,,
61.55798638,222,,,,,,,,,,,,,,,,,,,,
-75.9180814,291,,,,,,,,,,,,,,,,,,,,
5.658457634,436,,,,,,,,,,,,,,,,,,,,
1.527739899,364,,,,,,,,,,,,,,,,,,,,
60.05455066,377,,,,,,,,,,,,,,,,,,,,
98.76946514,315,,,,,,,,,,,,,,,,,,,,
37.76397698,268,,,,,,,,,,,,,,,,,,,,
42.58606106,230,,,,,,,,,,,,,,,,,,,,
51.03419095,217,,,,,,,,,,,,,,,,,,,,
84.81821116,259,,,,,,,,,,,,,,,,,,,,
18.68046418,404,,,,,,,,,,,,,,,,,,,,
18.30312701,301,,,,,,,,,,,,,,,,,,,,
21.33377031,317,,,,,,,,,,,,,,,,,,,,
109.0904871,252,,,,,,,,,,,,,,,,,,,,
-113.1111915,279,,,,,,,,,,,,,,,,,,,,
-36.91309895,413,,,,,,,,,,,,,,,,,,,,
48.01464886,350,,,,,,,,,,,,,,,,,,,,
40.01667119,217,,,,,,,,,,,,,,,,,,,,
33.10464552,292,,,,,,,,,,,,,,,,,,,,
33.08774691,367,,,,,,,,,,,,,,,,,,,,
39.34193883,228,,,,,,,,,,,,,,,,,,,,
55.27938563,276,,,,,,,,,,,,,,,,,,,,
-44.32356863,292,,,,,,,,,,,,,,,,,,,,
-123.499972,273,,,,,,,,,,,,,,,,,,,,
10.65517377,339,,,,,,,,,,,,,,,,,,,,
27.21129604,377,,,,,,,,,,,,,,,,,,,,
54.80488691,387,,,,,,,,,,,,,,,,,,,,
93.65087717,326,,,,,,,,,,,,,,,,,,,,
55.43991883,297,,,,,,,,,,,,,,,,,,,,
38.35746017,263,,,,,,,,,,,,,,,,,,,,
50.89862689,341,,,,,,,,,,,,,,,,,,,,
104.8462713,230,,,,,,,,,,,,,,,,,,,,
16.92956275,288,,,,,,,,,,,,,,,,,,,,
52.16084877,314,,,,,,,,,,,,,,,,,,,,
214.8791274,223,,,,,,,,,,,,,,,,,,,,
29.70736104,233,,,,,,,,,,,,,,,,,,,,
-78.09140861,283,,,,,,,,,,,,,,,,,,,,
63.89034993,242,,,,,,,,,,,,,,,,,,,,
93.81667579,230,,,,,,,,,,,,,,,,,,,,
47.80654641,215,,,,,,,,,,,,,,,,,,,,
57.63008055,100,,,,,,,,,,,,,,,,,,,,
24.6082196,234,,,,,,,,,,,,,,,,,,,,
63.82394264,454,,,,,,,,,,,,,,,,,,,,
102.6214078,498,,,,,,,,,,,,,,,,,,,,
53.27738944,240,,,,,,,,,,,,,,,,,,,,
-117.5519684,296,,,,,,,,,,,,,,,,,,,,
97.59759978,215,,,,,,,,,,,,,,,,,,,,
67.80195101,103,,,,,,,,,,,,,,,,,,,,
61.89364313,343,,,,,,,,,,,,,,,,,,,,
40.94736586,388,,,,,,,,,,,,,,,,,,,,
83.36397231,250,,,,,,,,,,,,,,,,,,,,
67.65092317,300,,,,,,,,,,,,,,,,,,,,
50.15838921,286,,,,,,,,,,,,,,,,,,,,
120.8592198,179,,,,,,,,,,,,,,,,,,,,
75.77496973,168,,,,,,,,,,,,,,,,,,,,
47.90394421,269,,,,,,,,,,,,,,,,,,,,
59.03074305,342,,,,,,,,,,,,,,,,,,,,
66.12919038,238,,,,,,,,,,,,,,,,,,,,
52.44438211,454,,,,,,,,,,,,,,,,,,,,
35.00230858,229,,,,,,,,,,,,,,,,,,,,
83.22411848,456,,,,,,,,,,,,,,,,,,,,
73.1537749,241,,,,,,,,,,,,,,,,,,,,
77.22644642,301,,,,,,,,,,,,,,,,,,,,
103.4193498,403,,,,,,,,,,,,,,,,,,,,
47.41233074,314,,,,,,,,,,,,,,,,,,,,
56.26351506,450,,,,,,,,,,,,,,,,,,,,
105.845507,181,,,,,,,,,,,,,,,,,,,,
87.10025123,318,,,,,,,,,,,,,,,,,,,,
91.47105538,312,,,,,,,,,,,,,,,,,,,,
60.92319941,234,,,,,,,,,,,,,,,,,,,,
93.76688595,166,,,,,,,,,,,,,,,,,,,,
112.1369021,225,,,,,,,,,,,,,,,,,,,,
98.13548456,302,,,,,,,,,,,,,,,,,,,,
115.8635776,289,,,,,,,,,,,,,,,,,,,,
57.18426016,127,,,,,,,,,,,,,,,,,,,,
84.16631794,400,,,,,,,,,,,,,,,,,,,,
71.23869361,275,,,,,,,,,,,,,,,,,,,,
63.6152734,431,,,,,,,,,,,,,,,,,,,,
106.8241851,126,,,,,,,,,,,,,,,,,,,,
108.9515397,389,,,,,,,,,,,,,,,,,,,,
59.36730104,234,,,,,,,,,,,,,,,,,,,,
96.23431115,247,,,,,,,,,,,,,,,,,,,,
50.95327345,262,,,,,,,,,,,,,,,,,,,,
47.34880257,301,,,,,,,,,,,,,,,,,,,,
48.58748028,378,,,,,,,,,,,,,,,,,,,,
81.27250386,191,,,,,,,,,,,,,,,,,,,,
91.75348457,417,,,,,,,,,,,,,,,,,,,,
102.7072167,345,,,,,,,,,,,,,,,,,,,,
86.35193019,308,,,,,,,,,,,,,,,,,,,,
109.6011419,326,,,,,,,,,,,,,,,,,,,,
53.1281379,252,,,,,,,,,,,,,,,,,,,,
145.9301402,358,,,,,,,,,,,,,,,,,,,,
112.8617399,369,,,,,,,,,,,,,,,,,,,,
102.018825,430,,,,,,,,,,,,,,,,,,,,
52.06989777,360,,,,,,,,,,,,,,,,,,,,
-11.35044925,440,,,,,,,,,,,,,,,,,,,,
28.4449526,373,,,,,,,,,,,,,,,,,,,,
142.873151,265,,,,,,,,,,,,,,,,,,,,
51.04097767,323,,,,,,,,,,,,,,,,,,,,
-24.68921594,326,,,,,,,,,,,,,,,,,,,,
83.9213717,225,,,,,,,,,,,,,,,,,,,,
81.12072181,235,,,,,,,,,,,,,,,,,,,,
132.7831302,315,,,,,,,,,,,,,,,,,,,,
62.89229727,377,,,,,,,,,,,,,,,,,,,,
196.5764527,368,,,,,,,,,,,,,,,,,,,,
94.51787672,382,,,,,,,,,,,,,,,,,,,,
88.70255804,243,,,,,,,,,,,,,,,,,,,,
200.779448,176,,,,,,,,,,,,,,,,,,,,
253.4635208,284,,,,,,,,,,,,,,,,,,,,
106.0809075,387,,,,,,,,,,,,,,,,,,,,
36.90700006,312,,,,,,,,,,,,,,,,,,,,
117.2340252,146,,,,,,,,,,,,,,,,,,,,
262.1866272,299,,,,,,,,,,,,,,,,,,,,
115.5060571,272,,,,,,,,,,,,,,,,,,,,
146.0221487,126,,,,,,,,,,,,,,,,,,,,
117.4222901,175,,,,,,,,,,,,,,,,,,,,
108.1614808,294,,,,,,,,,,,,,,,,,,,,
121.1054272,428,,,,,,,,,,,,,,,,,,,,
106.173429,318,,,,,,,,,,,,,,,,,,,,
181.1473809,201,,,,,,,,,,,,,,,,,,,,
-7.69750859,147,,,,,,,,,,,,,,,,,,,,
212.6696894,350,,,,,,,,,,,,,,,,,,,,
93.42491649,278,,,,,,,,,,,,,,,,,,,,
96.53937696,387,,,,,,,,,,,,,,,,,,,,
35.50334145,136,,,,,,,,,,,,,,,,,,,,
95.38528988,376,,,,,,,,,,,,,,,,,,,,
85.85975357,277,,,,,,,,,,,,,,,,,,,,
98.50708187,334,,,,,,,,,,,,,,,,,,,,
163.5967018,361,,,,,,,,,,,,,,,,,,,,
90.20305766,211,,,,,,,,,,,,,,,,,,,,
161.7341721,385,,,,,,,,,,,,,,,,,,,,
158.9884496,147,,,,,,,,,,,,,,,,,,,,
223.9110784,308,,,,,,,,,,,,,,,,,,,,
256.1561033,251,,,,,,,,,,,,,,,,,,,,
78.03769532,332,,,,,,,,,,,,,,,,,,,,
118.535473,300,,,,,,,,,,,,,,,,,,,,
-59.86021222,123,,,,,,,,,,,,,,,,,,,,
129.9921748,315,,,,,,,,,,,,,,,,,,,,
143.2193308,314,,,,,,,,,,,,,,,,,,,,
127.9884358,194,,,,,,,,,,,,,,,,,,,,
130.4882947,263,,,,,,,,,,,,,,,,,,,,
148.1315168,324,,,,,,,,,,,,,,,,,,,,
139.998411,271,,,,,,,,,,,,,,,,,,,,
111.8143694,362,,,,,,,,,,,,,,,,,,,,
136.8362227,372,,,,,,,,,,,,,,,,,,,,
50.83069069,213,,,,,,,,,,,,,,,,,,,,
244.9007461,313,,,,,,,,,,,,,,,,,,,,
123.6823061,294,,,,,,,,,,,,,,,,,,,,
143.673423,154,,,,,,,,,,,,,,,,,,,,
63.39563798,177,,,,,,,,,,,,,,,,,,,,
122.9826367,262,,,,,,,,,,,,,,,,,,,,
79.16714527,321,,,,,,,,,,,,,,,,,,,,
106.8952067,244,,,,,,,,,,,,,,,,,,,,
118.7271219,375,,,,,,,,,,,,,,,,,,,,
135.4858074,144,,,,,,,,,,,,,,,,,,,,
72.92175891,254,,,,,,,,,,,,,,,,,,,,
98.95650647,281,,,,,,,,,,,,,,,,,,,,
81.93809225,323,,,,,,,,,,,,,,,,,,,,
130.2753771,330,,,,,,,,,,,,,,,,,,,,
74.05545005,117,,,,,,,,,,,,,,,,,,,,
96.80612844,305,,,,,,,,,,,,,,,,,,,,
115.6911693,344,,,,,,,,,,,,,,,,,,,,
14.87096321,399,,,,,,,,,,,,,,,,,,,,
105.7604949,169,,,,,,,,,,,,,,,,,,,,
69.00877381,169,,,,,,,,,,,,,,,,,,,,
126.6619915,205,,,,,,,,,,,,,,,,,,,,
75.99293886,220,,,,,,,,,,,,,,,,,,,,
128.7477427,326,,,,,,,,,,,,,,,,,,,,
171.0816743,309,,,,,,,,,,,,,,,,,,,,
81.86159114,273,,,,,,,,,,,,,,,,,,,,
150.5196076,288,,,,,,,,,,,,,,,,,,,,
127.6674949,254,,,,,,,,,,,,,,,,,,,,
216.2788247,228,,,,,,,,,,,,,,,,,,,,
169.4963779,232,,,,,,,,,,,,,,,,,,,,
223.0405869,293,,,,,,,,,,,,,,,,,,,,
250.1192335,88,,,,,,,,,,,,,,,,,,,,
280.6910301,88,,,,,,,,,,,,,,,,,,,,
271.7749326,106,,,,,,,,,,,,,,,,,,,,
268.6899886,253,,,,,,,,,,,,,,,,,,,,
89.4498649,261,,,,,,,,,,,,,,,,,,,,
257.3385496,441,,,,,,,,,,,,,,,,,,,,
125.6762748,245,,,,,,,,,,,,,,,,,,,,
286.0872059,365,,,,,,,,,,,,,,,,,,,,
118.6130114,257,,,,,,,,,,,,,,,,,,,,
260.6387863,239,,,,,,,,,,,,,,,,,,,,
113.9506461,,,,,,,,,,,,,,,,,,,,,
275.9185325,,,,,,,,,,,,,,,,,,,,,
64.39216169,,,,,,,,,,,,,,,,,,,,,
290.1541653,,,,,,,,,,,,,,,,,,,,,
169.1208214,,,,,,,,,,,,,,,,,,,,,
266.026446,,,,,,,,,,,,,,,,,,,,,
246.1928043,,,,,,,,,,,,,,,,,,,,,
153.3876245,,,,,,,,,,,,,,,,,,,,,
252.9556158,,,,,,,,,,,,,,,,,,,,,
184.2901877,,,,,,,,,,,,,,,,,,,,,
310.983413,,,,,,,,,,,,,,,,,,,,,
56.09931812,,,,,,,,,,,,,,,,,,,,,
142.6395928,,,,,,,,,,,,,,,,,,,,,
68.94333706,,,,,,,,,,,,,,,,,,,,,
276.5083546,,,,,,,,,,,,,,,,,,,,,
253.2267459,,,,,,,,,,,,,,,,,,,,,
38.58643743,,,,,,,,,,,,,,,,,,,,,
256.1608099,,,,,,,,,,,,,,,,,,,,,
273.336302,,,,,,,,,,,,,,,,,,,,,
263.7584784,,,,,,,,,,,,,,,,,,,,,
15.72352532,,,,,,,,,,,,,,,,,,,,,
238.5625938,,,,,,,,,,,,,,,,,,,,,
249.8557354,,,,,,,,,,,,,,,,,,,,,
37.09401731,,,,,,,,,,,,,,,,,,,,,
161.3124461,,,,,,,,,,,,,,,,,,,,,
299.0468416,,,,,,,,,,,,,,,,,,,,,
15.08006762,,,,,,,,,,,,,,,,,,,,,
279.1980958,,,,,,,,,,,,,,,,,,,,,
212.2896991,,,,,,,,,,,,,,,,,,,,,
78.35189357,,,,,,,,,,,,,,,,,,,,,
259.1284424,,,,,,,,,,,,,,,,,,,,,
281.4269675,,,,,,,,,,,,,,,,,,,,,
250.3004558,,,,,,,,,,,,,,,,,,,,,
253.8920324,,,,,,,,,,,,,,,,,,,,,
246.9408,,,,,,,,,,,,,,,,,,,,,
244.328066,,,,,,,,,,,,,,,,,,,,,
107.3856063,,,,,,,,,,,,,,,,,,,,,
197.1613727,,,,,,,,,,,,,,,,,,,,,
261.1688893,,,,,,,,,,,,,,,,,,,,,
264.8069271,,,,,,,,,,,,,,,,,,,,,
3.061584279,,,,,,,,,,,,,,,,,,,,,
277.4689269,,,,,,,,,,,,,,,,,,,,,
-17.76039903,,,,,,,,,,,,,,,,,,,,,
264.7722217,,,,,,,,,,,,,,,,,,,,,
10.19180592,,,,,,,,,,,,,,,,,,,,,
258.9982793,,,,,,,,,,,,,,,,,,,,,
20.14739563,,,,,,,,,,,,,,,,,,,,,
249.0767017,,,,,,,,,,,,,,,,,,,,,
283.5259061,,,,,,,,,,,,,,,,,,,,,
25.89287443,,,,,,,,,,,,,,,,,,,,,
58.63394008,,,,,,,,,,,,,,,,,,,,,
16.45877682,,,,,,,,,,,,,,,,,,,,,
-7.631705292,,,,,,,,,,,,,,,,,,,,,
252.7794835,,,,,,,,,,,,,,,,,,,,,
282.4741683,,,,,,,,,,,,,,,,,,,,,
13.31455181,,,,,,,,,,,,,,,,,,,,,
66.93011233,,,,,,,,,,,,,,,,,,,,,
257.9127642,,,,,,,,,,,,,,,,,,,,,
-25.76653933,,,,,,,,,,,,,,,,,,,,,
27.22786588,,,,,,,,,,,,,,,,,,,,,
23.40520907,,,,,,,,,,,,,,,,,,,,,
14.12397269,,,,,,,,,,,,,,,,,,,,,
38.75339321,,,,,,,,,,,,,,,,,,,,,
29.46651508,,,,,,,,,,,,,,,,,,,,,
259.6389965,,,,,,,,,,,,,,,,,,,,,
25.33481181,,,,,,,,,,,,,,,,,,,,,
138.8088686,,,,,,,,,,,,,,,,,,,,,
296.7837242,,,,,,,,,,,,,,,,,,,,,
278.331792,,,,,,,,,,,,,,,,,,,,,
162.0287625,,,,,,,,,,,,,,,,,,,,,
32.11286115,,,,,,,,,,,,,,,,,,,,,
269.0345649,,,,,,,,,,,,,,,,,,,,,
265.6396916,,,,,,,,,,,,,,,,,,,,,
240.7803033,,,,,,,,,,,,,,,,,,,,,
-48.73154608,,,,,,,,,,,,,,,,,,,,,
272.1511535,,,,,,,,,,,,,,,,,,,,,
21.42610603,,,,,,,,,,,,,,,,,,,,,
273.8709027,,,,,,,,,,,,,,,,,,,,,
163.8118264,,,,,,,,,,,,,,,,,,,,,
47.38872978,,,,,,,,,,,,,,,,,,,,,
280.204253,,,,,,,,,,,,,,,,,,,,,
269.1425047,,,,,,,,,,,,,,,,,,,,,
273.2667381,,,,,,,,,,,,,,,,,,,,,
235.4535336,,,,,,,,,,,,,,,,,,,,,
29.69459602,,,,,,,,,,,,,,,,,,,,,
-10.2056131,,,,,,,,,,,,,,,,,,,,,
-16.45390364,,,,,,,,,,,,,,,,,,,,,
269.3876346,,,,,,,,,,,,,,,,,,,,,
298.4628312,,,,,,,,,,,,,,,,,,,,,
-42.71911632,,,,,,,,,,,,,,,,,,,,,
37.8392186,,,,,,,,,,,,,,,,,,,,,
266.2991131,,,,,,,,,,,,,,,,,,,,,
56.12353489,,,,,,,,,,,,,,,,,,,,,
290.6472834,,,,,,,,,,,,,,,,,,,,,
280.5936294,,,,,,,,,,,,,,,,,,,,,
240.8950715,,,,,,,,,,,,,,,,,,,,,
247.2093645,,,,,,,,,,,,,,,,,,,,,
224.6548405,,,,,,,,,,,,,,,,,,,,,
16.36270473,,,,,,,,,,,,,,,,,,,,,
276.8064634,,,,,,,,,,,,,,,,,,,,,
246.7970725,,,,,,,,,,,,,,,,,,,,,
216.1653084,,,,,,,,,,,,,,,,,,,,,
257.4157944,,,,,,,,,,,,,,,,,,,,,
248.992609,,,,,,,,,,,,,,,,,,,,,
271.9928791,,,,,,,,,,,,,,,,,,,,,
229.1296543,,,,,,,,,,,,,,,,,,,,,
225.3133812,,,,,,,,,,,,,,,,,,,,,
248.716205,,,,,,,,,,,,,,,,,,,,,
283.7071445,,,,,,,,,,,,,,,,,,,,,
219.0275528,,,,,,,,,,,,,,,,,,,,,
273.1146993,,,,,,,,,,,,,,,,,,,,,
224.5536684,,,,,,,,,,,,,,,,,,,,,
250.9777474,,,,,,,,,,,,,,,,,,,,,
264.9014323,,,,,,,,,,,,,,,,,,,,,
270.5570256,,,,,,,,,,,,,,,,,,,,,
222.451252,,,,,,,,,,,,,,,,,,,,,
254.5950792,,,,,,,,,,,,,,,,,,,,,
237.2427799,,,,,,,,,,,,,,,,,,,,,
273.8956189,,,,,,,,,,,,,,,,,,,,,
105.7274508,,,,,,,,,,,,,,,,,,,,,
-351.4771745,,,,,,,,,,,,,,,,,,,,,
119.7546399,,,,,,,,,,,,,,,,,,,,,
247.1459801,,,,,,,,,,,,,,,,,,,,,
256.8057832,,,,,,,,,,,,,,,,,,,,,
247.1165711,,,,,,,,,,,,,,,,,,,,,
274.7442405,,,,,,,,,,,,,,,,,,,,,
235.645713,,,,,,,,,,,,,,,,,,,,,
228.3843852,,,,,,,,,,,,,,,,,,,,,
215.724456,,,,,,,,,,,,,,,,,,,,,
225.2011853,,,,,,,,,,,,,,,,,,,,,
225.6449641,,,,,,,,,,,,,,,,,,,,,
252.4804892,,,,,,,,,,,,,,,,,,,,,
227.662901,,,,,,,,,,,,,,,,,,,,,
262.9496482,,,,,,,,,,,,,,,,,,,,,
218.5721926,,,,,,,,,,,,,,,,,,,,,
233.6264764,,,,,,,,,,,,,,,,,,,,,
